A,A  ,
B,A  ,B  ,B M  ,B N  ,N  ,
C,C  ,C I  ,C M  ,J  ,
D,A  ,D  ,D A  ,J  ,N  ,
E,A  ,E  ,
F,A F  ,F  ,F A  ,F E  ,M F  ,N  ,
G,G  ,J  ,K  ,N  ,T  ,
H,H  ,H C  ,I H  ,K  ,N  ,O  ,
I,A  ,I  ,I E  ,K  ,N  ,
J,A  ,J  ,J R A  ,
K,J  ,K  ,N  ,
L,A  ,L  ,N  ,
M,M  ,M A  ,M E  ,N  ,
N,N  ,
O,A  ,N  ,
P,A  ,K  ,N  ,P  ,P A  ,
Q,N  ,O  ,Q  ,
R,A  ,I  ,N  ,R  ,
S,A S  ,F  ,S  ,
T,D  ,K  ,N  ,T  ,
U,A  ,N  ,O  ,
V,A  ,B  ,J  ,L  ,P  ,
W,L D  ,L Q  ,O  ,
X,F  ,H  ,H S  ,N S  ,S  ,
Y,I  ,L I  ,N  ,
Z,A  ,C  ,J  ,
